region_code,region_name,region_en,region_type,region_type_flag,year,births,grade1_students,elem_school,school_change,closed_elem_year,closed_elem_year_2020_2024,births_per_school,grade1_per_school,b2s_ratio,b2s_gap,risk_index,estimated_flag
43, 충청북도,Chungcheongbuk-do,Province,0,2021,8190,14800,260,2,0,0,31.5,56.923,1.807,6610,0.807,1
43, 충청북도,Chungcheongbuk-do,Province,0,2022,7452,14500,261,1,0,0,28.552,55.556,1.946,7948,1.067,1
43, 충청북도,Chungcheongbuk-do,Province,0,2023,7580,13980,263,2,0,0,28.821,53.156,1.844,6400,0.844,1
43, 충청북도,Chungcheongbuk-do,Province,0,2024,7540,11780,264,1,0,0,28.561,44.621,1.562,4240,0.562,1
44, 충청남도,Chungcheongnam-do,Province,0,2020,8607,17000,390,0,0,0,22.069,43.59,1.975,8393,0.975,1
44, 충청남도,Chungcheongnam-do,Province,0,2021,8190,16500,392,2,0,0,20.893,42.092,2.015,8310,1.015,1
44, 충청남도,Chungcheongnam-do,Province,0,2022,7452,16000,393,1,0,0,18.962,40.712,2.147,8548,1.147,1
44, 충청남도,Chungcheongnam-do,Province,0,2023,7580,15000,395,2,0,0,19.19,37.975,1.979,7420,0.979,1
44, 충청남도,Chungcheongnam-do,Province,0,2024,7540,13200,397,2,0,0,18.992,33.249,1.751,5660,0.751,1
45, 전북특별자치도,Jeollabuk-do,Province,0,2020,8165,14468,407,0,0,0,20.061,35.548,1.772,6303,0.772,0
45, 전북특별자치도,Jeollabuk-do,Province,0,2021,7475,14172,407,0,0,0,18.366,34.821,1.896,6697,0.896,0
45, 전북특별자치도,Jeollabuk-do,Province,0,2022,7032,14067,407,0,0,0,17.278,34.563,2,7035,1,0
45, 전북특별자치도,Jeollabuk-do,Province,0,2023,6622,12577,407,0,0,0,16.27,30.902,1.899,5955,0.899,0
45, 전북특별자치도,Jeollabuk-do,Province,0,2024,6780,11145,407,0,0,0,16.658,27.383,1.644,4365,0.644,1
46,전라남도,Jeollanam-do,Province,0,2020,9738,15070,430,0,0,6,22.647,35.047,1.548,5332,0.548,1
46,전라남도,Jeollanam-do,Province,0,2021,8430,15815,426,-4,4,6,19.789,37.124,1.876,7385,0.876,0
46,전라남도,Jeollanam-do,Province,0,2022,7888,13815,428,2,0,6,18.43,32.278,1.751,5927,0.751,0
46,전라남도,Jeollanam-do,Province,0,2023,7828,12881,428,0,0,6,18.29,30.096,1.646,5053,0.646,0
46,전라남도,Jeollanam-do,Province,0,2024,8225,11155,426,-2,2,6,19.308,26.185,1.356,2930,0.356,0
47, 경상북도,Gyeongsangbuk-do,Province,0,2020,12873,20935,548,0,0,0,23.491,38.203,1.626,8062,0.626,0
47, 경상북도,Gyeongsangbuk-do,Province,0,2021,12045,20120,548,0,0,0,21.98,36.715,1.67,8075,0.67,1
47, 경상북도,Gyeongsangbuk-do,Province,0,2022,11311,19284,548,0,0,0,20.641,35.19,1.705,7973,0.705,0
47, 경상북도,Gyeongsangbuk-do,Province,0,2023,10186,17563,548,0,0,0,18.588,32.049,1.724,7377,0.724,1
47, 경상북도,Gyeongsangbuk-do,Province,0,2024,10333,15420,548,0,0,0,18.856,28.139,1.492,5087,0.492,0
48, 경상남도,Gyeongsangnam-do,Province,0,2020,16823,26000,590,0,0,0,28.514,44.068,1.546,9177,0.546,1
48, 경상남도,Gyeongsangnam-do,Province,0,2021,15562,25200,592,2,0,0,26.287,42.568,1.619,9638,0.619,1
48, 경상남도,Gyeongsangnam-do,Province,0,2022,14017,24300,594,2,0,0,23.598,40.909,1.734,10283,0.734,0
48, 경상남도,Gyeongsangnam-do,Province,0,2023,13049,22000,596,2,0,0,21.894,36.913,1.686,8951,0.686,0
48, 경상남도,Gyeongsangnam-do,Province,0,2024,13067,19800,598,2,0,0,21.851,33.11,1.515,6733,0.515,1
50, 제주특별자치도,Jeju-do,Province,0,2020,3989,6426,114,0,0,0,34.991,56.368,1.611,2437,0.611,0
50, 제주특별자치도,Jeju-do,Province,0,2021,3728,6551,114,0,0,0,32.702,57.465,1.757,2823,0.757,0
50, 제주특별자치도,Jeju-do,Province,0,2022,3599,6694,114,0,0,0,31.57,58.719,1.86,3095,0.86,0
50, 제주특별자치도,Jeju-do,Province,0,2023,3222,6189,114,0,0,0,28.263,54.289,1.921,2967,0.921,0
50, 제주특별자치도,Jeju-do,Province,,2024,3456,5471,114,0,0,0,30.316,47.991,1.583,2015,0.583,0
